         92007 function calls (91912 primitive calls) in 1.102 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       76    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
       90    0.000    0.000    0.001    0.000 element.py:1983(_matches)
      211    0.000    0.000    0.001    0.000 _htmlparser.py:159(handle_data)
      594    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      388    0.000    0.000    0.001    0.000 os.py:696(__iter__)
       80    0.000    0.000    0.001    0.000 decode_asn1.py:87(_decode_general_name)
        1    0.000    0.000    0.004    0.004 decode_asn1.py:187(parse)
      394    0.000    0.000    0.001    0.000 os.py:751(encode)
        2    0.000    0.000    0.000    0.000 {method 'callback' of 'CompiledFFI' objects}
      248    0.000    0.000    0.001    0.000 core.py:127(check_initial_combiner)
   110/91    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       41    0.000    0.000    0.002    0.000 parser.py:123(set_cdata_mode)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:914(get_data)
       21    0.000    0.000    0.005    0.000 response.py:677(_update_chunk_length)
        1    0.000    0.000    1.102    1.102 <string>:1(<module>)
      248    0.000    0.000    0.000    0.000 {built-in method unicodedata.category}
       76    0.000    0.000    0.000    0.000 general_name.py:152(_init_without_validation)
      277    0.000    0.000    0.000    0.000 __init__.py:654(handle_data)
      775    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       76    0.000    0.000    0.016    0.000 pyopenssl.py:165(_dnsname_to_stdlib)
       33    0.000    0.000    0.418    0.013 {method 'readline' of '_io.BufferedReader' objects}
      215    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     1358    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        6    0.000    0.000    0.000    0.000 url.py:210(_encode_invalid_chars)
      248    0.000    0.000    0.000    0.000 core.py:143(check_nfc)
        3    0.000    0.000    0.001    0.000 decode_asn1.py:76(_decode_general_names)
       20    0.000    0.000    0.012    0.001 response.py:379(_decode)
       10    0.000    0.000    0.000    0.000 {built-in method _openssl.X509V3_EXT_d2i}
       65    0.000    0.000    0.003    0.000 _htmlparser.py:221(handle_comment)
      248    0.000    0.000    0.000    0.000 core.py:53(valid_label_length)
        1    0.000    0.000    0.000    0.000 {built-in method _openssl.SSL_CTX_set_cipher_list}
     1044    0.000    0.000    0.000    0.000 element.py:1334(__bool__)
        3    0.000    0.000    0.000    0.000 sre_parse.py:475(_parse)
       66    0.000    0.000    0.005    0.000 _htmlparser.py:86(handle_startendtag)
      124    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      363    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _openssl.SSL_CTX_new}
      248    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      126    0.000    0.000    0.000    0.000 SSL.py:289(raise_if_problem)
      248    0.000    0.000    0.000    0.000 {built-in method unicodedata.normalize}
       17    0.000    0.000    0.000    0.000 _oid.py:11(__init__)
      248    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
       16    0.000    0.000    0.001    0.000 parse.py:361(urlparse)
        1    0.000    0.000    0.016    0.016 pyopenssl.py:251(<listcomp>)
      124    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
      346    0.000    0.000    0.000    0.000 element.py:1717(descendants)
       51    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       80    0.000    0.000    0.000    0.000 decode_asn1.py:755(_asn1_string_to_bytes)
        1    0.000    0.000    0.000    0.000 {built-in method _openssl.SSL_write}
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
       17    0.000    0.000    0.000    0.000 decode_asn1.py:22(_obj2txt)
        1    0.000    0.000    0.207    0.207 connection.py:298(connect)
        4    0.000    0.000    0.000    0.000 {method 'read' of '_io.FileIO' objects}
       19    0.000    0.000    0.000    0.000 parse.py:409(urlsplit)
        3    0.000    0.000    0.000    0.000 SSL.py:311(wrapper)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x7f9334f0a620}
      5/1    0.000    0.000    1.103    1.103 {built-in method builtins.exec}
       39    0.000    0.000    0.000    0.000 parse.py:109(_coerce_args)
        1    0.000    0.000    0.000    0.000 SSL.py:2026(get_cipher_list)
      7/3    0.000    0.000    0.000    0.000 sre_compile.py:71(_compile)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:793(get_code)
        1    0.000    0.000    0.000    0.000 decode_asn1.py:380(_decode_authority_information_access)
        1    0.000    0.000    0.143    0.143 __init__.py:97(__init__)
      361    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       16    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:318(__exit__)
       49    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        2    0.000    0.000    0.000    0.000 SSL.py:1566(__init__)
       12    0.000    0.000    0.000    0.000 queue.py:153(get)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:824(update)
        1    0.000    0.000    0.001    0.001 client.py:193(parse_headers)
        3    0.000    0.000    0.003    0.001 __init__.py:71(search_function)
        1    0.000    0.000    0.940    0.940 sessions.py:614(send)
        2    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
       55    0.000    0.000    0.000    0.000 types.py:164(__get__)
       78    0.000    0.000    0.000    0.000 {built-in method _openssl.sk_GENERAL_NAME_value}
        1    0.000    0.000    0.022    0.022 pyopenssl.py:370(getpeercert)
      125    0.000    0.000    0.000    0.000 socket.py:614(readable)
        1    0.000    0.000    0.949    0.949 sessions.py:463(request)
       97    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      111    0.000    0.000    0.000    0.000 backend.py:130(openssl_assert)
      215    0.000    0.000    0.001    0.000 abc.py:137(__instancecheck__)
        1    0.000    0.000    0.625    0.625 connectionpool.py:494(urlopen)
        2    0.000    0.000    0.001    0.000 cookiejar.py:933(set_ok)
        1    0.000    0.000    0.000    0.000 decode_asn1.py:260(_decode_certificate_policies)
       20    0.000    0.000    0.310    0.015 models.py:747(generate)
        1    0.000    0.000    0.005    0.005 sessions.py:423(prepare_request)
        2    0.000    0.000    0.000    0.000 cookiejar.py:142(_str2time)
       22    0.000    0.000    0.000    0.000 threading.py:335(notify)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:882(_find_spec)
        2    0.000    0.000    0.000    0.000 {built-in method _openssl.SSL_new}
       16    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
       21    0.000    0.000    0.000    0.000 _collections.py:155(__getitem__)
        1    0.000    0.000    0.628    0.628 adapters.py:394(send)
        2    0.000    0.000    0.002    0.001 cookiejar.py:1667(extract_cookies)
        9    0.000    0.000    0.000    0.000 message.py:462(get)
        1    0.000    0.000    0.416    0.416 client.py:289(begin)
       17    0.000    0.000    0.000    0.000 {built-in method _openssl.OBJ_obj2txt}
       10    0.000    0.000    0.000    0.000 {method 'cast' of 'CompiledFFI' objects}
       11    0.000    0.000    0.000    0.000 queue.py:121(put)
       41    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
        1    0.000    0.000    0.002    0.002 crypto.py:579(__getattr__)
        2    0.000    0.000    0.001    0.000 url.py:330(parse_url)
      4/3    0.000    0.000    0.005    0.002 <frozen importlib._bootstrap>:978(_find_and_load)
        2    0.000    0.000    0.000    0.000 cookiejar.py:452(parse_ns_headers)
       42    0.000    0.000    0.000    0.000 _util.py:72(native)
        2    0.000    0.000    0.004    0.002 _collections.py:91(clear)
       14    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
        6    0.000    0.000    0.000    0.000 sre_compile.py:276(_optimize_charset)
        1    0.000    0.000    0.000    0.000 decode_asn1.py:355(_decode_authority_key_identifier)
       17    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       18    0.000    0.000    0.000    0.000 {method 'new' of 'CompiledFFI' objects}
        1    0.000    0.000    0.624    0.624 connectionpool.py:351(_make_request)
        1    0.000    0.000    0.002    0.002 adapters.py:255(build_response)
        1    0.000    0.000    0.000    0.000 SSL.py:716(__init__)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1474(_cookie_from_cookie_tuple)
        4    0.000    0.000    0.000    0.000 message.py:497(get_all)
      104    0.000    0.000    0.000    0.000 element.py:1858(_normalize_search_value)
       29    0.000    0.000    0.000    0.000 structures.py:48(__setitem__)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1344(add_cookie_header)
        3    0.000    0.000    0.001    0.000 sre_compile.py:759(compile)
        3    0.000    0.000    0.002    0.001 {built-in method builtins.__import__}
       20    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
      172    0.000    0.000    0.000    0.000 utils.py:42(<lambda>)
        1    0.000    0.000    0.093    0.093 connection.py:33(create_connection)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
        1    0.000    0.000    0.004    0.004 utils.py:166(inner)
        1    0.000    0.000    0.000    0.000 feedparser.py:139(__init__)
        2    0.000    0.000    0.000    0.000 cookiejar.py:999(set_ok_domain)
      248    0.000    0.000    0.000    0.000 {method 'lower' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 feedparser.py:53(__init__)
      7/3    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
        2    0.000    0.000    0.000    0.000 cookiejar.py:747(__init__)
        7    0.000    0.000    0.000    0.000 element.py:1820(__init__)
       78    0.000    0.000    0.000    0.000 extensions.py:1217(<genexpr>)
       24    0.000    0.000    0.000    0.000 structures.py:53(__getitem__)
      4/3    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap>:663(_load_unlocked)
        1    0.000    0.000    0.000    0.000 decode_asn1.py:533(_decode_dist_points)
        1    0.000    0.000    0.074    0.074 pyopenssl.py:465(wrap_socket)
        1    0.000    0.000    0.000    0.000 response.py:569(from_httplib)
       22    0.000    0.000    0.000    0.000 enum.py:284(__call__)
       41    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        8    0.000    0.000    0.001    0.000 {method 'decode' of 'bytearray' objects}
       11    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
        2    0.000    0.000    0.001    0.000 cookiejar.py:1587(make_cookies)
       22    0.000    0.000    0.000    0.000 enum.py:526(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:405(reset)
       31    0.000    0.000    0.000    0.000 _oid.py:43(__eq__)
        4    0.000    0.000    0.000    0.000 crypto.py:1063(_from_raw_x509_ptr)
        3    0.000    0.000    0.000    0.000 url.py:274(_normalize_host)
       50    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
       20    0.000    0.000    0.310    0.015 response.py:543(stream)
        1    0.000    0.000    0.000    0.000 {built-in method today}
       78    0.000    0.000    0.000    0.000 extensions.py:1219(<genexpr>)
        1    0.000    0.000    0.000    0.000 response.py:193(__init__)
        3    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.000    0.000 connectionpool.py:167(__init__)
        2    0.000    0.000    0.000    0.000 contextlib.py:81(__init__)
   110/91    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 models.py:356(prepare_url)
       43    0.000    0.000    0.000    0.000 {built-in method _openssl.SSL_get_cipher_list}
        1    0.000    0.000    0.002    0.002 ssl_.py:220(create_urllib3_context)
       42    0.000    0.000    0.002    0.000 re.py:232(compile)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
        3    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
       75    0.000    0.000    0.000    0.000 element.py:1291(get)
        1    0.000    0.000    0.000    0.000 decode_asn1.py:645(_decode_precert_signed_certificate_timestamps)
        5    0.000    0.000    0.000    0.000 parse.py:843(quote_from_bytes)
