         91927 function calls (91832 primitive calls) in 6.235 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       32    0.000    0.000    0.268    0.008 client.py:594(_safe_read)
        1    0.000    0.000    0.004    0.004 decode_asn1.py:187(parse)
      394    0.000    0.000    0.001    0.000 os.py:751(encode)
        1    0.000    0.000    6.234    6.234 <string>:1(<module>)
       28    0.000    0.000    0.000    0.000 structures.py:48(__setitem__)
       90    0.000    0.000    0.001    0.000 element.py:1983(_matches)
       76    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 {method 'callback' of 'CompiledFFI' objects}
      211    0.000    0.000    0.001    0.000 _htmlparser.py:159(handle_data)
       41    0.000    0.000    0.002    0.000 parser.py:123(set_cdata_mode)
       80    0.000    0.000    0.001    0.000 decode_asn1.py:87(_decode_general_name)
   110/91    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      594    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      388    0.000    0.000    0.001    0.000 os.py:696(__iter__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      248    0.000    0.000    0.000    0.000 core.py:127(check_initial_combiner)
       76    0.000    0.000    0.000    0.000 general_name.py:152(_init_without_validation)
        2    0.000    0.000    0.000    0.000 calendar.py:655(timegm)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x7ff36e5ab620}
      215    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
        3    0.000    0.000    0.001    0.000 decode_asn1.py:76(_decode_general_names)
      277    0.000    0.000    0.000    0.000 __init__.py:654(handle_data)
       76    0.000    0.000    0.016    0.000 pyopenssl.py:165(_dnsname_to_stdlib)
      248    0.000    0.000    0.000    0.000 core.py:143(check_nfc)
        3    0.000    0.000    0.001    0.000 sre_parse.py:475(_parse)
     1358    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      248    0.000    0.000    0.000    0.000 core.py:53(valid_label_length)
       65    0.000    0.000    0.003    0.000 _htmlparser.py:221(handle_comment)
        6    0.000    0.000    0.000    0.000 url.py:210(_encode_invalid_chars)
      248    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 {built-in method _openssl.SSL_CTX_set_cipher_list}
      713    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       66    0.000    0.000    0.005    0.000 _htmlparser.py:86(handle_startendtag)
     1044    0.000    0.000    0.000    0.000 element.py:1334(__bool__)
      123    0.000    0.000    0.000    0.000 SSL.py:289(raise_if_problem)
        1    0.000    0.000    0.016    0.016 pyopenssl.py:251(<listcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method _openssl.SSL_CTX_new}
       21    0.000    0.000    0.031    0.001 response.py:677(_update_chunk_length)
