         74905 function calls (74853 primitive calls) in 2.401 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.093    0.093 ssl.py:796(_create)
       16    0.000    0.000    1.646    0.103 client.py:594(_safe_read)
      384    0.000    0.000    0.000    0.000 os.py:755(decode)
       27    0.000    0.000    0.435    0.016 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x7f4a6ec98c80}
      194    0.000    0.000    0.000    0.000 os.py:696(__iter__)
      193    0.000    0.000    0.000    0.000 os.py:751(encode)
  212/211    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.606    0.606 request.py:1275(do_open)
      2/1    0.000    0.000    2.401    2.401 {built-in method builtins.exec}
      348    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      301    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      357    0.000    0.000    0.000    0.000 {built-in method builtins.next}
     20/8    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
        2    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
       96    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
        1    0.000    0.000    1.651    1.651 client.py:556(_readall_chunked)
       43    0.000    0.000    0.000    0.000 types.py:164(__get__)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
        1    0.000    0.000    0.001    0.001 client.py:193(parse_headers)
        9    0.000    0.000    0.003    0.000 client.py:532(_get_chunk_left)
       57    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
        4    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
      108    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        7    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
       15    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
